date,region,n,comment
2020-01-01,  ,382,"test"
2020-01-02,  ,566,  
2020-01-03,  ,580,  
2020-01-04,  ,532,  
2020-01-05,  ,943,  
2020-01-06,  ,4635,  
2020-01-07,  ,5598,  
2020-01-08,  ,4355,  
2020-01-09,  ,5992,  
2020-01-10,  ,5468,  
2020-01-11,  ,897,  
2020-01-12,  ,1426,  
2020-01-13,  ,6297,  
2020-01-14,  ,7443,  
2020-01-15,  ,5520,  
2020-01-16,  ,6982,  
2020-01-17,  ,5542,  
2020-01-18,  ,1001,  
2020-01-19,  ,1992,  
2020-01-20,  ,5777,  
2020-01-21,  ,5582,  
2020-01-22,  ,5973,  
2020-01-23,  ,6363,  
2020-01-24,  ,3893,  
2020-01-25,  ,640,  
2020-01-26,  ,1104,  
2020-01-27,  ,4614,  
2020-01-28,  ,5356,  
2020-01-29,  ,3987,  
2020-01-30,  ,5163,  
2020-01-31,  ,4414,  
2020-02-01,  ,500,  
2020-02-02,  ,796,  
2020-02-03,  ,3610,  
2020-02-04,  ,3451,  
2020-02-05,  ,3005,  
2020-02-06,  ,3424,  
2020-02-07,  ,3133,  
2020-02-08,  ,644,  
2020-02-09,  ,1066,  
2020-02-10,  ,5352,  
2020-02-11,  ,5622,  
2020-02-12,  ,5225,  
2020-02-13,  ,7026,  
2020-02-14,  ,7451,  
2020-02-15,  ,1228,  
2020-02-16,  ,2933,  
2020-02-17,  ,8251,  
2020-02-18,  ,7826,  
2020-02-19,  ,6313,  
2020-02-20,  ,7282,  
2020-02-21,  ,6091,  
2020-02-22,  ,900,  
2020-02-23,  ,1769,  
2020-02-24,  ,5486,  
2020-02-25,  ,5103,  
2020-02-26,  ,4581,  
2020-02-27,  ,5539,  
2020-02-28,  ,3592,  
2020-02-29,  ,1031,  
2020-03-01,  ,1818,  
2020-03-02,  ,5673,  
2020-03-03,  ,5679,  
2020-03-04,  ,4887,  
2020-03-05,  ,5737,  
2020-03-06,  ,4106,  
2020-03-07,  ,934,  
2020-03-08,  ,1765,  
2020-03-09,  ,8174,  
2020-03-10,  ,7013,  
2020-03-11,  ,5285,  
2020-03-12,  ,5048,  
2020-03-13,  ,3992,  
2020-03-14,  ,915,  
2020-03-15,  ,1103,  
2020-03-16,  ,5245,  
2020-03-17,  ,9362,  
2020-03-18,  ,10577,  
2020-03-19,  ,12805,  
2020-03-20,  ,11774,  
2020-03-21,  ,4227,  
2020-03-22,  ,3686,  
2020-03-23,  ,15747,  
2020-03-24,  ,14618,  
2020-03-25,  ,14135,  
2020-03-26,  ,14006,
2020-03-27,  ,11993,
2020-03-28,  ,2519,
2020-03-29,  ,2969,
2020-03-30,  ,16053,
2020-03-31,  ,14203,
2020-04-01,  ,13273,
2020-04-02,  ,14044,
2020-04-03,  ,11318,
2020-04-04,  ,1701,
2020-04-05,  ,1405,
2020-04-06,  ,4592,
2020-04-07,  ,4573,
