date,region,n,comment
2020-01-01,  ,382,
2020-01-02,  ,566,  
2020-01-03,  ,580,  
2020-01-04,  ,532,  
2020-01-05,  ,943,  
2020-01-06,  ,4635,  
2020-01-07,  ,5598,  
2020-01-08,  ,4355,  
2020-01-09,  ,5992,  
2020-01-10,  ,5468,  
2020-01-11,  ,897,  
2020-01-12,  ,1426,  
2020-01-13,  ,6297,  
2020-01-14,  ,7443,  
2020-01-15,  ,5520,  
2020-01-16,  ,6982,  
2020-01-17,  ,5542,  
2020-01-18,  ,1001,  
2020-01-19,  ,1992,  
2020-01-20,  ,5777,  
2020-01-21,  ,5582,  
2020-01-22,  ,5973,  
2020-01-23,  ,6363,  
2020-01-24,  ,3893,  
2020-01-25,  ,640,  
2020-01-26,  ,1104,  
2020-01-27,  ,4614,  
2020-01-28,  ,5356,  
2020-01-29,  ,3987,  
2020-01-30,  ,5163,  
2020-01-31,  ,4414,  
2020-02-01,  ,500,  
2020-02-02,  ,796,  
2020-02-03,  ,3610,  
2020-02-04,  ,3451,  
2020-02-05,  ,3005,  
2020-02-06,  ,3424,  
2020-02-07,  ,3133,  
2020-02-08,  ,644,  
2020-02-09,  ,1066,  
2020-02-10,  ,5352,  
2020-02-11,  ,5622,  
2020-02-12,  ,5225,  
2020-02-13,  ,7026,  
2020-02-14,  ,7451,  
2020-02-15,  ,1228,  
2020-02-16,  ,2933,  
2020-02-17,  ,8251,  
2020-02-18,  ,7826,  
2020-02-19,  ,6313,  
2020-02-20,  ,7282,  
2020-02-21,  ,6091,  
2020-02-22,  ,900,  
2020-02-23,  ,1769,  
2020-02-24,  ,5486,  
2020-02-25,  ,5103,  
2020-02-26,  ,4581,  
2020-02-27,  ,5539,  
2020-02-28,  ,3592,  
2020-02-29,  ,1031,  
2020-03-01,  ,1818,  
2020-03-02,  ,5673,  
2020-03-03,  ,5679,  
2020-03-04,  ,4887,  
2020-03-05,  ,5737,  
2020-03-06,  ,4106,  
2020-03-07,  ,934,  
2020-03-08,  ,1765,  
2020-03-09,  ,8174,  
2020-03-10,  ,7013,  
2020-03-11,  ,5285,  
2020-03-12,  ,5048,  
2020-03-13,  ,3992,  
2020-03-14,  ,915,  
2020-03-15,  ,1103,  
2020-03-16,  ,5245,  
2020-03-17,  ,9362,  
2020-03-18,  ,10577,  
2020-03-19,  ,12805,  
2020-03-20,  ,11774,  
2020-03-21,  ,4227,  
2020-03-22,  ,3686,  
2020-03-23,  ,15747,  
2020-03-24,  ,14618,  
2020-03-25,  ,14135,  
2020-03-26,  ,14006,
2020-03-27,  ,11993,
2020-03-28,  ,2519,
2020-03-29,  ,2969,
2020-03-30,  ,16053,
2020-03-31,  ,14203,
2020-04-01,  ,13273,
2020-04-02,  ,14044,
2020-04-03,  ,11318,
2020-04-04,  ,1701,
2020-04-05,  ,1405,
2020-04-06,  ,4592,
2020-04-07,  ,4573,
2020-04-08,  ,3855,
2020-04-09,  ,3452,
2020-04-10,  ,1371,
2020-04-11,  ,1256,
2020-04-12,  ,975,
2020-04-13,  ,1604,
2020-04-14,  ,4215,
2020-04-15,  ,4222,
2020-04-16,  ,3948,
2020-04-17,  ,3613,
2020-04-18,  ,1350,
2020-04-19,  ,1744,
2020-04-20,  ,10309,
2020-04-21,  ,8813,
2020-04-22,  ,7756,
2020-04-23,  ,8118,
2020-04-24,  ,7115,
2020-04-25,  ,906,
2020-04-26,  ,1331,
2020-04-27,  ,9446,
2020-04-28,  ,8143,
2020-04-29,  ,7466,
2020-04-30,  ,7771,
2020-05-01,  ,3874,
2020-05-02,  ,765,
2020-05-03,  ,1102,
2020-05-04,  ,10077,
2020-05-05,  ,8744,
2020-05-06,  ,7536,
2020-05-07,  ,7352,
2020-05-08,  ,5718,
2020-05-09,  ,650,
2020-05-10,  ,721,
2020-05-11,  ,3358,
2020-05-12,  ,4155,
2020-05-13,  ,4285,
2020-05-14,  ,4675,
2020-05-15,  ,3795,
2020-05-16,  ,429,
2020-05-17,  ,680,
2020-05-18,  ,4438,
2020-05-19,  ,4929,
2020-05-20,  ,3539,
2020-05-21,  ,487,
2020-05-22,  ,616,
2020-05-23,  ,719,
2020-05-24,  ,1054,
2020-05-25,  ,5373,
2020-05-26,  ,4537,
2020-05-27,  ,3890,
2020-05-28,  ,4467,
2020-05-29,  ,3554,
2020-05-30,  ,311,
2020-05-31,  ,463,
2020-06-01,  ,996,
2020-06-02,  ,4785,
2020-06-03,  ,3844,
2020-06-04,  ,4088,
2020-06-05,  ,3018,
2020-06-06,  ,459,
2020-06-07,  ,1013,
2020-06-08,  ,4120,
2020-06-09,  ,3845,
2020-06-10,  ,3015,
2020-06-11,  ,1744,
2020-06-12,  ,1462,
2020-06-13,  ,376,
2020-06-14,  ,846,
2020-06-15,  ,3810,
2020-06-16,  ,3198,
2020-06-17,  ,3522,
2020-06-18,  ,3448,
2020-06-19,  ,2400,
2020-06-20,  ,256,
2020-06-21,  ,598,
2020-06-22,  ,3052,
2020-06-23,  ,2914,
2020-06-24,  ,1985,
2020-06-25,  ,2561,
2020-06-26,  ,1368,
2020-06-27,  ,90,
2020-06-28,  ,289,
2020-06-29,  ,2130,
2020-06-30,  ,1309,
2020-07-01,  ,716,
2020-07-02,  ,769,
2020-07-03,  ,600,
2020-07-04,  ,100,
2020-07-05,  ,55,
2020-07-06,  ,320,
2020-07-07,  ,222,
2020-07-08,  ,212,
2020-07-09,  ,214,
2020-07-10,  ,172,
2020-07-11,  ,70,
2020-07-12,  ,85,
2020-07-13,  ,111,
2020-07-14,  ,137,
2020-07-15,  ,196,
2020-07-16,  ,144,
2020-07-17,  ,188,
2020-07-18,  ,57,
2020-07-19,  ,71,
2020-07-20,  ,167,
2020-07-21,  ,190,
2020-07-22,  ,194,
2020-07-23,  ,218,
2020-07-24,  ,178,
2020-07-25,  ,91,
2020-07-26,  ,101,
2020-07-27,  ,181,
2020-07-28,  ,230,
2020-07-29,  ,227,
2020-07-30,  ,163,
2020-07-31,  ,117,
2020-08-01,  ,49,
2020-08-02,  ,114,
2020-08-03,  ,227,
2020-08-04,  ,230,
2020-08-05,  ,157,
2020-08-06,  ,78,
2020-08-07,  ,105,
2020-08-08,  ,65,
2020-08-09,  ,105,
2020-08-10,  ,423,
